user,song,title,play_count,release,artist_name,year
dbe25935909b7521ec9c40e3c47deff064a8b96d,SOBIMTY12A6D4F931F,The Ballad of Michael Valentine,1,Sawdust,The Killers,2004
ef0b7a70e800854ea69a269165f25ec828273353,SOSFQDP12A81C237EE,Des Blutes Stimme,3,Des Blutes Stimme,Riger,2002
cd41ce889ab2972d91832846f404b0fd9e789651,SOCULSW12A6D4FAF72,Days That Are Over,2,Two Way Monologue,Sondre Lerche,2004
06b3875df691732d8c93bebfd5f9652bd09fd686,SOTEGWG12AB01897AC,Forever,1,Relapse: Refill,Drake / Kanye West / Lil Wayne / Eminem,0
ee78d818604f2a85a72cbc3c2ddac394da21ffa6,SOQARFV12A8C131531,Love Struck Baby,2,In The Beginning,Stevie Ray Vaughan And Double Trouble,1985
2bc86cfeeb2016fadab357f135a2ea3baca4ffe6,SONREBX12A8C142DBA,I Feel Better,1,One Life Stand,Hot Chip,2010
b6f8b5c27dff927635752d83a6687229cad8c883,SOBZAWO12AB0189656,Substitution (Album Version),2,Swoon,Silversun Pickups,2009
578d02e9175d5d286e024e111914f01da161c2d6,SOVXTEL12A8C136B69,It's Not You_ It's Me,2,The Little Willies,The Little Willies,2006
429553dd248d253a5c74c9fd02842ca3ed9cc3f5,SOTRBQW12A8C13FC4C,TAVALLINEN TARINA,1,Rakastaa Ei Rakasta,Hausmylly,0
13d90fa7a4cf30f1d3a9c2e311a7aadceddec9a4,SOTXSFT12AF72A654A,If This Is It,3,Sports,Huey Lewis & The News,1983
703d4b90b9fd399355ad315efb5c18ec03cc3b11,SOZOWON12A67ADA091,Glamorous,3,Big Summer Tunes,Fergie / Ludacris,0
1f726d31dbf0741ebc5b1bd2eeaa0862c89deaf0,SOFKSLA12A6D4F7687,The Rocks & The Water,1,Music From Local Hero,Mark Knopfler,0
c757d5e52be32d74a502e313c9dfc3d045f48b9c,SOMZTMR12A8C14177C,Feels So Good,2,Let's Go To Prison (OST),Chuck Mangione,1977
71ded496051ecccb6039abae42ab8975d986f74d,SOYBTCQ12A8C1323B8,Destroy Everything (Album Version),1,Supremacy,Hatebreed,2006
6444471517ff88cb0574988f183518d8e9303dc4,SOILFUU12AB017C75F,I'm Not Calling You A Liar,3,Lungs,Florence + The Machine,2009
79626898964ec76d8db7b518cc629372e90a2b3b,SOJYNHA12AF729DF0C,Moon Flavor,1,Teeny Shiny,Melt Banana,0
1f59a0c2c2bb46c1a382d35328c06562507b14c6,SOESJHB12A8C13F5A5,Puppetmad,1,Creature Shock Radio,Puppetmastaz,2005
a86254cd9f6f349ad78cef78a7cb1d0beeee1802,SOVXUCJ12A6701FBC2,Still Don't Give A Fuck,1,The Slim Shady LP,Eminem,1999
a8c753647fb74f2cb597a30014e41cd46508976d,SODGJKH12AAA8C9487,Day 'N' Nite,1,R&B Yearbook,Kid Cudi Vs Crookers,2008
c532665ace42a4c82f480756c850d5a91d661963,SOAVUFZ12A8C138F8A,Sodade Matadera (2001 Digital Remaster),1,Dorival Caymmi,Dorival Caymmi,0
d85330ce1f3180b6a87cff5f11ccbf47f58cd90e,SOFXWBG12A6D4F74BE,Your Ex-Lover Is Dead (Album Version),1,The O.C. Mix 5,Stars,0
e43382cf87d1b1b47cfbdc97212e0ec888b28fd2,SOAUWYT12A81C206F1,Undo,40,Vespertine Live,Björk,2001
c72f840151f459d3ea0d906e74c401f5b67bc8da,SOUZZMM12AB0186546,Nasty Wish,1,Alex Gopher (Versailles Special Edition),Alex Gopher,2007
d8101e7aed51ee2deab0a1db232040cd91cf155e,SOPHBRE12A8C142825,The Runner,1,Because Of The Times,Kings Of Leon,2007
d8101e7aed51ee2deab0a1db232040cd91cf155e,SOPHBRE12A8C142825,The Runner,1,Because Of The Times,Kings Of Leon,2007
bffbe974a19f297051f8638c48a558aeb308f39f,SOFCSDA12AB017D7BE,Again,3,Memento Mori,Flyleaf,2009
3d3b5ae5d90c65f00aee37f292439de9b3588c71,SOUFRIT12A8C13AFF5,Me Borro,1,Cortamambo,El Cuarteto De Nos,2000
c66bbd09911733e9e5da32b9c268ef80dc5ab96b,SOFKFXC12AC90732A5,Down To Earth,1,My World,Justin Bieber,2009
fcb5cc59a3cb2680286213cd65a459bca673549f,SOEGPTU12A6D4F747A,I'm A Monster,1,Distorted Lullabies,Ours,0
dbcddf06b124b9a99966704d829d1db6c6298bc4,SODEVAA12A58A773FF,Morning Star Social Club,2,Onye Bili_ Ibeya Ebili,Chief Stephen Osita Osadebe,0
ae7e74529e1495d664027b969e30eec14018d835,SOHHZKM12A6D4F70DA,Pak Dit Grej (1998 Digital Remaster),4,De 2 Første,C.V. Jørgensen,0
ed329409f1bb6ca9c478150caf251f7c331fa508,SOIIOUS12A8AE47E20,Yeah!,1,Confessions,Usher Featuring Lil' Jon & Ludacris,2007
778b8940be8a7e56122a1574b58adfd026062536,SORQVPO12AF72A690C,New York City Cops,1,Is This It,The Strokes,2001
9b3494e386bb82f8234b386a5b994bb834f47082,SODVRJW12A8C136703,On The Death Of The Waters,1,Rook,Shearwater,2008
1f64d97fa2e72c6a246011b9177040b1029d45d2,SOPQEHG12AB0187F3C,Forever in Ebony Drowning,1,Dark Requiems... And Unsilent Massacre,Hecate Enthroned,1998
5fd081c3f667c5af7edf996836c52f9d1f8312a3,SOXRJYC12A6D4FB48B,No Llegas A Mí,24,Aunque Cueste Ver El Sol,No Te Va Gustar,2004
6e40fbfdd3f48049cf09ab7b62deed3b30e78050,SOAUFOF12AB0180C65,Seven Nation Army,2,Seven Nation Army,The White Stripes,2003
6e40fbfdd3f48049cf09ab7b62deed3b30e78050,SOAUFOF12AB0180C65,Seven Nation Army (Album Version),2,Elephant,The White Stripes,2003
c4130cc953b653dd13d1280ee458080d1631ecdf,SOBJBIZ12A8C132861,We're Looking For A Lot Of Love,1,Made In The Dark,Hot Chip,2008
3cd048fc1346f6f29a52147c941c616f65766fc0,SOWEHOM12A6BD4E09E,16 Candles,1,16 Candles,The Crests,1988
29dc026617d7de47621d28b2ba10ea6dc0615d46,SOEIWVQ12AB018213F,Zero,1,It's Blitz!,Yeah Yeah Yeahs,2009
5b99ef59d46dfe879324292833739b06d140f187,SOSOQHL12AB0182BA5,Second category,2,More ep,The Tellers,2006
4fc3700a30072965886892002b84ed4bea0b170d,SOGWUDP12AB01858ED,Persona [Featuring Josh Haden],2,The Complex,Blue Man Group,2003
506baed240ccaefcd38210e46c6c7c9e366226fd,SOAEYPR12AF72A08BD,Impossible,1,Glory,Manafest,2006
466368815678ac992692d4ae3c6420cfba04ea18,SOGVUCA12A67AE0D71,Redhead,2,Axxess & Ace,Songs:Ohia,1999
9ba37a5fca99b3da28907d496cde0307ad480f3a,SOCLANN12AC907598C,Love In 2 Parts,1,Distillation,Erin McKeown,2000
890b813b148fc159c19588323b174fe319810e36,SOVJXBK12A6D4FA5DD,Fancy Dancer (LP Version),2,The Sound Of Bread,Bread,0
920f5a54dd89b9f9e554b9125ab564978d7524c6,SOJCQQC12AAA15EE72,Reality Of Emptiness,1,The Death Campaign Project,Officer Negative,0
05493cc9ba677e371303652fbb611c02594e97e3,SOEBOWM12AB017F279,Hotel California,1,Hotel California / Pretty Maids All In A Row [Digital 45],Eagles,1976
d5f32846936b25db83c8724c7c2889245acbe319,SOZVCRW12A67ADA0B7,When You Were Young,1,When You  Were Young,The Killers,2006
f027202b58c91a0f6c98fe32763685f3a67ac1ea,SOLWZVR12AB01849C6,All The Right Moves,5,Waking Up,OneRepublic,2009
87d018f974d97600be69a9476b8af82020a623aa,SOINYMI12A8C13C3F8,Creature Fear,1,For Emma_ Forever Ago,Bon Iver,2007
d44a81e1542ce8a66ecff323d4440287c83e8a7a,SONBNDT12A6D4FB37B,Hey Dude,1,Menonita Rock,Los Fancy Free,0
2c3321c8b205032aa4a711ef55607d6ad5126070,SOJGRIS12AB018B889,Lewis Takes Off His Shirt,1,Heartland,Owen Pallett,2010
24781581f29252abf3608730288599dd1bfbd50d,SOCWZND12AAF3B360E,Through The Backyards,1,Moshi Moshi: The First 10 Years,Au Revoir Simone,2005
b84ab89da4259588c01430ffe199606154a0eed6,SOUKGFR12A670206EC,Leave (Get Out),1,Leave (Get Out),JoJo,2004
1f214db2646769239e96ce46b18afc180613d741,SOQMOAE12A8AE475A3,Good You Dub,5,200,Boxcutter,0
87610f0fba8f51295b40c76deaa60c9d4fb32e3a,SOIRLWR12A8C13F563,Wir müssen das nicht tun,1,Sylt,Kettcar,2008
1725d0b1fb1c3d3b4fc8e8e321eabf6263cac237,SOGCWZS12A6701FCAC,Take A Chance On Me,2,The Definitive Collection,Abba,1977
50ebe779cbdb9b8336722827eb173969c1b77ac6,SOHGPYP12AB017E134,Starin' Through My Rear View,13,Resurrection,2Pac,2003
481434b2e8f9257bac92e46232002ff7f29364b7,SOJMTBN12A6701D160,Just The Two Of Us (WSM Compilation Edit),1,THE DEFINITIVE GROVER WASHINGTON_ JR. - THE ELEKTRA YEARS,Grover Washington Jr. feat. Bill Withers,0
0aae492624266f328f5a197e7c4b219fcecf18c5,SOEXXAG12A670209DA,Babaji,4,Even In The Quietest Moments,Supertramp,1977
4dfeba87e9cd16cdbc67295e4f7a162e0316b372,SOMFWOV12AB018A0FA,Fallen Angels,3,Nine Lives,Aerosmith,1997
021cf2285e07d1128f7a12fa68be1fde00f9042c,SOXYAUN12A58A7BE87,High (Album Version),4,100 Chillout Classics,James Blunt,0
9505529dbd5d235aac96412938fa618667b1f6fa,SOQJZCR12AF72A131D,Gunpowder,3,Dead FM,Strike Anywhere,2006
7f5780c2b359b787217d7802fba5633a77586772,SOJSTYO12A8C13F200,Breakdown,1,In Between Dreams,Jack Johnson,2005
518f93b195571b3e69bebccf366520a177f32b47,SOWFOWY12A8C1346AC,Perfect Time,1,White Trash Heroes,Archers Of Loaf,1998
21a3906a957efd574beb46e03149b57692b04971,SOPFZYA12A8C143552,Poetic Justice,1,Something Wicked,Nuclear Assault,1993
9e208212edbc20f8e8460903bf3f4936bb993207,SOJXAMZ12AF72ABD3C,The Noose,1,Thirteenth Step,A Perfect Circle,2003
c81b2ac24dc00434f359c1504231fa57d467e610,SOFUBKK12A58A7AD88,Kindness  (The Noise We Make Album Version),1,The Noise We Make,Chris Tomlin,2001
f8df73cf5260153a05396aa4b9912a896f92068c,SONDUKG12A58A7DA36,Work It Out,3,Dangerously In Love,Beyoncé,2002
25f301fce1b0d037a2291b344cbf3c5af8ae5157,SOMPGOD12A8C13F706,Heavyweight,22,Vicious Delicious,Infected Mushroom,2007
80c04efbd645251d12039f8238f9849e8a03a4fe,SOEEKMY12A81C221D4,Kill The Poor,1,Milking The Sacred Cow,Dead Kennedys,1980
285e20c01f5c5e34bc09d95f1d5b0e17bbdb6922,SORXTBD12A6D4FE2AB,They Call Me Gucci,7,Everybody Wants Some,Gucci Crew II,1988
15ddce9838eb422c2229e9a963a4e1b8492b0d90,SOQJKQA12AB0188B48,Se Tudo Pode Acontecer,1,Ao Vivo No Estúdio,Arnaldo Antunes,2001
b5230a5c791e82a7e3a4399641949e1ae08ce5bc,SOVZAGY12A8C1397BF,Dancin' On My Grave (Album),1,Robotique Majestique,Ghostland Observatory,2008
d8707367273c0682c6c762a88a26d4331f091a4d,SODKTVM12A8C142006,Live A Little (Explicit Album Version),1,The Quilt,Gym Class Heroes,2008
6e4e4bf88632477b1c27e98a4a63277e50376c12,SOHMDOK12AB0183078,Last Train To Trancentral,1,A Place Called Happiness,Slusnik Luna / Lowland,0
ae3a6bc3bb16b1060dac8ec7d616ee0ab5644a01,SOTKJIZ12A6D4F733A,I.O.U. Me,43,8 Great Hits Bebe & Cece,Bebe And Cece Winans,1994
8faf49f9627e5aed391b40b7411e350133c1286d,SODEYDM12A58A77072,Lights & Music,1,Lights & Music,Cut Copy,2008
b832e6f8b7c3c60f4368b6ba5497978ae8934bfb,SOOLYZQ12A6D4FA5B7,Face Down (Album Version),2,Don't You Fake It,The Red Jumpsuit Apparatus,2008
3b342014d2d7cda909c6e180903b3206869c2c5a,SOBYQRF12A8C136B30,Rosalita (Come Out Tonight),2,The Wild_ The Innocent And The E Street Shuffle,Bruce Springsteen,1973
3fcc2b64bfcf793fecbf9a142430f9a48c019ae6,SOGNJVV12A58A7BDE4,Calm Before The Storm (Album Version),1,Take This To Your Grave,Fall Out Boy,2003
0e961fa56cf0b23eaa859eee2ee2b845c9ea21e5,SOOLYZQ12A6D4FA5B7,Face Down (Album Version),2,Don't You Fake It,The Red Jumpsuit Apparatus,2008
7c52618d40a374d6c4f5214be7005a8af7bc430f,SONLXHZ12AF729A980,Gone So Young,3,The Possibility and the Promise (Deluxe Edition),Amber Pacific,2005
44d9c44032ade05b27d60bbd2e5d6b4075ee6e35,SOJFTME12A6701C7F5,Platinum Blonde Life,3,Rock Steady,No Doubt,2001
89b04843603a9b2789326339268aa06f021ca31d,SOBOAFP12A8C131F36,Lucky (Album Version),1,We Sing.  We Dance.  We Steal Things.,Jason Mraz & Colbie Caillat,0
dde48fac264783520494edacac95ae0038a1084e,SOELHYJ12A8C13790C,Me Cuesta Tanto Olvidarte,5,Ana_ José_ Nacho,Mecano,0
a84582bb30f5bd64fec4b161f85b1e01ad5eb0cb,SOJZFJE12A8C13FF01,Shattered By Broken Dreams,1,Sounding The Seventh Trumpet,Avenged Sevenfold,2001
594bfa890a179c697a98beee74e19638ca3eff13,SOAEHVN12A6D4F698C,Functional,5,Liquid Sunshine,Keziah Jones,1999
b505a7917a38e995fd71e529da16e9d5d384d76c,SOMBKJF12A8C1440B9,Dick In A Box,1,Incredibad,The Lonely Island / Justin Timberlake,2009
b1accbdeb0c6014c13130efede7a9a6896a21276,SOAOOWF12A8C1347EC,Bullet Tells The Truth,1,Man On Fire,Harry Gregson-Williams,2004
7cc0d8f6b046010a177ab8c4d329ea4eceb95bde,SOOXCTS12A6D4F92C3,In The Still Of The Night,1,Nature Boy: The Standards Album,Aaron Neville,2003
60b3a9141ea41704f4872dd49c60b5ad50ab08ef,SOSKHZD12AC9075514,The False Contender,1,Let's Get Out Of This Country,Camera Obscura,0
b9d16404a981c3a28e8b446f454b76d146e16b8d,SOHLKPL12A6D4FB05C,Say Hello 2 Heaven,2,Temple Of The Dog,Temple Of The Dog,1991
7876e19ced0ab77fb6c5a4245fcd42597eda74fe,SOUSMXX12AB0185C24,OMG,2,OMG - The Remixes,Usher featuring will.i.am,2010
b54873801bc0ff92a5478009264796a0abaebfe3,SOAKVVM12AC3DF9F8F,Northern Lights,1,Don't Look Now,Way Out West,0
7d8b35de2f336e82a6395e535095fd0a8fa23579,SOUOJLG12A6D4F854A,Truth In The Age Of Lies (Album Version),1,For Those Who Were Crucified,All Out War,1998
e921e2ee9e665737c222038104abe25585532096,SOMGIYR12AB0187973,Behind The Sea [Live In Chicago],1,Live In Chicago,Panic At The Disco,0
cba63d1e41aa830f086f6ca29be0def6536222f3,SORPSEU12A8C1407EA,Safe Ride (Album Version),1,Rotation,Cute Is What We Aim For,2008
069fe85d6bc33f068702cfad921bcafd15bc66b9,SOGGTOD12A6701C578,Low,1,X & Y,Coldplay,2005
b636fc2293511db4b2798543a2fc58c0dedd3d00,SODLXUC12A6701DD8C,Come See About Me,1,The #1's,The Supremes,1964
5291e62d6191de0c7bfb1b2ee2b94314147d3f18,SOXXCZL12A6701F348,I Never Loved You Anyway ( LP Version ),1,Best Of The Corrs,The Corrs,2001
74380b3a31fda6976165d8124796b1518b4a366a,SOLAGCF12A6D4F6DE7,The Past Is A Grotesque Animal,1,Hissing Fauna_ Are You The Destroyer?,Of Montreal,2007
fb2a423ed1eb8f1024115edd5942fd482f5f0d38,SOLKDYK12AB018DA3C,Learned Your Name,1,Nothing Like You,Frightened Rabbit,2010
bad88a242d8fc69de4ad99a2cb35a52b8270334e,SOSDGZX12AB0183567,The Time We Lost Our Way featuring Loulou,1,The Cosmic Game,Thievery Corporation,2005
5716fc86db54c43f1706eb49c30e7ea63672b4cc,SODNPZH12A6D4F6962,Héroe De Leyenda (Versión Acústica),1,The Platinum Collection,Héroes del Silencio,2006
cbc68d9d1ce9e9e620b10598fe27705188247918,SOSPCVN12AF72A344C,I Morket Drommende,1,Crypt Of The Wizard,Mortiis,1996
5bb83733b3fe62f002c764b289606354883ed858,SOGHGKO12AF72A44DF,On Our Side,8,Arriving (Holiday Edition),Chris Tomlin,2004
53d32b0172fae4f723b95b6994e57073f0fd540a,SOKIDRN12A8151BD47,I'm Your Villain,1,You Could Have It So Much Better,Franz Ferdinand,2005
53d32b0172fae4f723b95b6994e57073f0fd540a,SOKIDRN12A8151BD47,I'm Your Villain,1,You Could Have It So Much Better,Franz Ferdinand,2005
9a1477ce0c71e11a106a82a254287b8ffe335424,SODINWJ12A8C1350AD,What Have You Done For Me Lately?,1,Dap-Dippin' With&,Sharon Jones & The Dap-Kings,2002
cdd51d31429239497d11952ab40c91759caa4298,SOSLPTU12A8C1445D7,Still Alive,2,Best.  Concert.  Ever.,Jonathan Coulton,2007
eb5727aa692b295f1d747dcf14bb8ce0d19e6f10,SOBOAFP12A8C131F36,Lucky (Album Version),3,We Sing.  We Dance.  We Steal Things.,Jason Mraz & Colbie Caillat,0
f8a1ef2afcf1138404f3d465bfbdb9a74a083dcd,SOLKGOB12A6D4FB717,Ackrite,1,2001 Instrumental,Dr. Dre,1999
31683d6183704c4c3a6b3f2959cd89ad124a901d,SOXLXXE12A6D4FAF60,Symphony of the dead,3,A'arab Zaraq Lucid Dreaming,THERION,1992
2b8a13faee3d44ddd2d43254a2071e7c90d205d9,SOKOMRB12A8C137136,Shut The Hell Up_ Bad Parking_ And Cops On Bikes (Walter),1,Arguing With Myself,Jeff Dunham,2006
ee9f09308a0f351f205d2c6fc52d6845339e620e,SOARTQC12A58A77F0C,Shimmy Shimmy Quarter Turn (Take It Back To Square One),5,Drive Thru Records Greatest Hits,Hellogoodbye,2004
ea3462503144bffda0aface48f9d041f1b59d75a,SOLDJQS12A8C140B19,Singing in the Rain,1,Actors Delight,Gene Kelly,1995
605a2c1257f1a67b143a356b53d08b20cadac067,SONOWEK12A8C137C18,Sólo Le Pido A Dios,3,Desenchufado,León Gieco,1978
9e53b936b55360a7336f97c643b0e51a23da2924,SOEUPXG12AB018540F,Man In The Making,1,The Ones We Never Knew,Holly Williams,2004
b7c24f770be6b802805ac0e2106624a517643c17,SOZEGZO12A58A7C25E,Apple (Album Version),1,Viva! La Woman,Cibo Matto,1996
64df3f476343d3440bfc5c370a4ed618586b69ab,SOBFNRW12A6D4F7BCA,Bulgarian  Chicks,1,Balkan Beat Box,Balkan Beat Box,2005
746ee868f109479ffa24b1327f073e2d9e9630fe,SOGHPQP12AB0185BFC,El Cuenta Cuentos,1,Poesia Difusa,Nach,2003
7d9c8012dff13ce6bd88a1cc91c90a16d6520418,SORHRZK12AB018187A,Lambada,22,Lambada,Kaoma,1989
3ce1f35cc47d365f33220adf27408805dcc77422,SOVRZIX12AAF3B2A32,Armistice,12,Wolfgang Amadeus Phoenix,Phoenix,0
2fd88036028533dae363eb581c2ac6de7ec681c8,SOJQHNC12AB0183B2D,Have Love_ Will Travel,1,Busy Body!!! Live In Tacoma 1964,The Sonics,0
cf7e64f49345d49e4be5bd1d6ac9d0d6ffbcfdd3,SOVAQER12A6D4FAD5F,Avarandado,16,Joao Gilberto,João Gilberto,1973
e455e9f23e178b6e885e980bef7724a42d090fd7,SOFJOSL12AB0181CA8,Flagpole Sitta,1,Scooby-Doo 2: Monsters Unleashed,Harvey Danger,1997
b00ea706a920ef71d56509b929d4d06347635371,SOKLBHE12A8C13B8FA,Civil Obedience,1,Human The Death Dance,Sage Francis,2007
25437163bce3f320dc625aad6da01c220f3562f2,SOUBTIQ12A8C13E39A,DOA,1,Resolve,Foo Fighters,2005
45c9e0fc6b40684b51b2de4fe33baf8219ea0ebf,SOMKDLE12A58A792AB,St Anthony,1,Framed / Next,The Sensational Alex Harvey Band,0
194e5cda8592b466bbb9228a45f1a6f3a08075fb,SOOWIBD12A6D4FCB18,Gloria in D RV589 (ed. Malipiero): I.    Gloria in excelsis Deo,6,Bach: Magnificat / Vivaldi: Gloria in D,Academy of St Martin-in-the-Fields Chorus/Academy of St Martin-in-the-Fields/Sir Neville Marriner,0
fa1c6f2449afd517a64b5a78db9d4fc148ff8acf,SOHWNCK12A67020845,Used To Love Her,1,G N' R Lies,Guns N' Roses,1988
b55e49f332da37944723fb3af733afff401de854,SOWXOPV12AB01825F4,K.I.A. (Killed In Action),1,She's A Genius,JET,0
0f57e6cd56cc9b8bc64fb07a5bc51e72f6a94b1a,SOCATVQ12A8AE46CF4,U.R.A Fever,1,Midnight Boom,The Kills,2008
004740ffe234210963c9c53196f072131281d24e,SOFMAAD12A58A7BF77,As,2,Capitol Rare_ Volume 1,Gene Harris,1977
91075bfa0dc9f88a25d89b1a41bba7f11d61e720,SOFDIQE12A8C140167,We're The Oppressed,1,Totally Oppressed,The Oppressed,1984
6f971e565cfebe86a5c2b3c71a3e59d4b6923e99,SOWYXIR12A8C140A23,Love Bug,5,George Jones and Gene Pitney - Country Duetting,George Jones and Gene Pitney,0
fe19651ff8c6fc24d8c386b5fe65a13c6f630b25,SOEPHOU12A8C141DE1,Nishe,1,Unintended,Muse,0
26982ca5617a7d6c5a30786b209885b6777ed8f0,SOJZOCJ12AC3DFA9D2,Dies irae,1,Gaia III Atlantia,Mago de Oz,2010
ce9bdc96b50ab579368038d62e6913230f910a23,SOQEPWT12AB0189FA3,Enloquecéme,2,Lo Mejor De OV7,OV7,0
a4704d19932a20752bba242a888305299c7d2881,SOPNBEZ12AB0185163,Loca,13,Compilado Santiago Caliente Cumbia Chilena,Chico Trujillo,2008
5caf231cfacb3f8c546f5c5e46d7f37ce81f811d,SOWPLXQ12A8C13DE41,Stab U In The Back,3,Hell!,Venom,0
a92a8978de95bb37d9882a9acc29a0287d858f01,SOBABRB12A6701DF4B,Nah!,1,Up!,Shania Twain,2002
210b30dd78a2b1755bd1c57928551d5af7f04f1e,SOQQZSH12A8C13FFF7,Chinatown,1,Gemini,Wild Nothing,2010
c0ce827f0e03001c4c84cf24da900ee87f8fb19c,SOSJRJP12A6D4F826F,Master Of Puppets,1,Master Of Puppets,Metallica,1986
389c6d594c3c091bf062c3e750ceab00017a5eae,SOPTWHL12AB01843C8,Giving Up The Gun,1,Contra,Vampire Weekend,2010
ad0d1dcfe00031c4c5ae863508278d91b6d9a5b1,SOIYWPZ12A81C204EF,Homecoming,21,Graduation,Kanye West,2007
5bb201dccc2e9d3dca06ce011322f93a6e10e1db,SOAKPMX12AB018193B,High School Musical,2,High School Musical 3 - Senior Year,High School Musical Cast,0
5bbce319ae411938c6868e886a88fc6e56f14b00,SORXWGT12A8C142124,Pretty Bird,2,Acid Tongue,Jenny Lewis,2008
af739a30f4b0193de74d207f96193e8bd2057976,SOIHACR12A8C1426DB,Bang!,1,In And Out Of Control,The Raveonettes,2009
32aa00bcd89045b718272f9758d4b94a7187b594,SOLANUT12AB0189C52,The Right Place,1,Monsters Of Folk,Monsters Of Folk,2009
26c2136c32d83ce85d56d93feb27dba7f7f2165a,SOBKRVG12A8C133269,I Stand Corrected (Album),1,Vampire Weekend,Vampire Weekend,2007
df991d69713767a3f8ded031b98ae3c467495be0,SOGGJNR12A8C142D07,Nights Out,1,Nights Out,Metronomy,2008
5d3b42058e500c305c8da67831ba1284693c5cc5,SOUSJJS12A6701D9FB,The Show,4,Tical 0: The Prequel,Method Man,2004
aef1622f839caecddf34cdbe8a7062d6cc5d6c07,SOQAIDX12A8AE459C8,Cigarette Eyes,2,Cigarette Eyes,Matt Costa,2007
82d947a1f7060ed0292df0ce80a0dce2ae1c0765,SORLRQS12A81C22235,Fat City,1,Runnin' Wild,Airbourne,2007
2debe8b97072df196a73ee0fe18a25376611797b,SOWEJXA12A6701C574,Fix You,5,X & Y,Coldplay,2005
6f46f9c2205dfcef0e27b061131caead56936a49,SOAXGDH12A8C13F8A1,Dog Days Are Over (Radio Edit),3,Now That's What I Call Music! 75,Florence + The Machine,0
4dc3d7ad6b24ab94d6836079d29d8c26df83b0ca,SOSTSNO12A8C134C75,Superhero,1,Strays,Jane's Addiction,2003
9723e7fc385800c0a6834504b31151a949253ad8,SOOXCTA12AB0184BD6,Straight Lines,1,Straight Lines,Dawn Landes,2006
317bdc740ba7fe3f0b37c3c340ebe1f7c574b841,SOFWKCI12A8C13A22A,Bros Sto Rimagmeno Spiti (2003 Digital Remaster),9,50 Hronia Rebetiko Tragoudi,George Dalaras,0
b1a79e150d0dfc2e12fdd05396dc19118dac64e9,SOUNZHU12A8AE47481,I CAN'T GET STARTED,1,It's The Time,Ron Carter,0
fce07d10e0aa533315be5d53d2ee02675081cecd,SOQZYQH12A8AE468E5,Better To Reign In Hell,1,Damnation And A Day,Cradle Of Filth,2003
00c20b0eaab9df260afd43c8291b6a304bf15b24,SOWOXRI12A8C134504,Activa,5,Microcastle,Deerhunter,2007
7fe12ca76dbe56e25bdc45b767914f53a3b3b138,SOEHZIL12A81C237BF,What Do You Go Home To?,2,All Of A Sudden I Miss Everyone,Explosions In The Sky,2007
67ffe84b3d5ebdf149353d6e3c88ef9589313251,SOLAIRW12A8C1366BD,La Del Bikini Rojo,2,A Gozar Con Sabrosura,Fito Olivares,0
52145b5a695c2f2c13519e9c7db157dc89da31c8,SOFOALD12A8C14208A,I Keep Living The Same Day,1,United Nations,United Nations,2008
a8328873717abe5a93d89d2a6a2b1c6f5e6f8de1,SOAUNAX12AB01876D0,The Prize,1,Hell Train,Soltero,0
05e4d798de7f3dff9b9d6df602ab320dcf6dddb9,SOEXDOR12A8C13C52E,Falling Through Your Clothes,1,Twin Cinema,The New Pornographers,2005
e9a94d9964b6fa0318bcf0dc817292c252075df5,SOQRSSJ12A8C137A9C,Long Cool Woman In A Black Dress,1,Greatest Hits_ Live!,The Hollies,1971
