track_id_encoded,track_id,track_name,track_artist,track_popularity,track_album_id,track_album_name,track_album_release_date,playlist_name,playlist_id,playlist_genre,playlist_subgenre,danceability,energy,key,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_minutes,track_name_preprocessed,playlist_name_sentiment,track_name_sentiment,intensity_zone,intensity_zone_encoded,cluster,avg_bpm,age,avg_cadence,avg_pace,y_pred
59.0,0BknVuf853LEmEzTEO3LY4,Ten Crack Commandments,The Notorious B.I.G.,1.0,2sRdk7s8ObFBEn3ZoPmE5r,9317.0,1997-03-04,gangsta rap top classics,0C2zyPdlkbWHrwVg9gqNdU,4.0,6.0,0.655,0.699,8.0,-9.432,0.636,0.0457,0.0,0.256,0.734,174.121,3.4,ten crack commandments,0.5,0.0,Zone 5 (Maximum),4.0,7.0,195.0,30.0,72.0,5.71,1.0
1920.0,6NncjnSD7JLEetWb9KqMRY,I Wanna Love You,Akon,70.0,13C2pc5O7ofZKd4p2VYO3S,8805.0,2006-01-01,hip hop rnb,0Ar0Ng9DlAWZtSPBvOQgOa,3.0,9.0,0.865,0.45,0.0,-9.387,0.0417,0.0359,1.28e-06,0.308,0.352,99.989,4.12,wan na love,0.0,0.5,Zone 2 (Light),1.0,2.0,239.0,27.0,66.0,5.29,1.0
238.0,0mfCH4nfpshBQR9ueZP5eP,Girls Need Love (with Drake) - Remix,Summer Walker,10.0,3i9w4RgUuxBxUVaarH91kx,6351.0,2019-02-10,contemporary urban,6wyJ4bsjZaUKa9f6GeZlAO,3.0,23.0,0.656,0.432,6.0,-9.481,0.217,0.443,0.0,0.132,0.0897,97.022,3.71,girls need love drake remix,0.0833333333333333,0.5,Zone 2 (Light),1.0,1.0,108.0,44.0,101.0,6.02,1.0
238.0,0mfCH4nfpshBQR9ueZP5eP,Girls Need Love (with Drake) - Remix,Summer Walker,10.0,3i9w4RgUuxBxUVaarH91kx,6351.0,2019-02-10,contemporary urban,6wyJ4bsjZaUKa9f6GeZlAO,3.0,23.0,0.656,0.432,6.0,-9.481,0.217,0.443,0.0,0.132,0.0897,97.022,3.71,girls need love drake remix,0.0833333333333333,0.5,Zone 2 (Light),1.0,1.0,108.0,44.0,101.0,6.02,1.0
91.0,0I3q5fE6wg7LIfHGngUTnV,Ms. Jackson,OutKast,77.0,2tm3Ht61kqqRZtIYsBjxEj,15108.0,2000-10-31,saxophone hip hop r b lounge jazz rap,2ujrP2rPxu8ao7wNeG1ZOY,3.0,13.0,0.843,0.805,4.0,-5.946,0.269,0.142,0.0,0.0771,0.615,94.946,4.51,jackson,0.0,0.0,Zone 1 (Very Light),0.0,9.0,181.0,19.0,111.0,5.71,1.0
713.0,2JvzF1RMd7lE3KmFlsyZD8,MIDDLE CHILD,J. Cole,86.0,3XzSOIE6zGLliuqsVGLmUc,9962.0,2019-01-23,trap americana,7tkgK1tm9hYkWp7EFyOcAr,4.0,21.0,0.837,0.364,8.0,-11.713,0.276,0.149,0.0,0.271,0.463,123.984,3.56,middle child,0.0,0.0,Zone 3 (Moderate),2.0,9.0,101.0,53.0,70.0,7.18,1.0
238.0,0mfCH4nfpshBQR9ueZP5eP,Girls Need Love (with Drake) - Remix,Summer Walker,10.0,3i9w4RgUuxBxUVaarH91kx,6351.0,2019-02-10,contemporary urban,6wyJ4bsjZaUKa9f6GeZlAO,3.0,23.0,0.656,0.432,6.0,-9.481,0.217,0.443,0.0,0.132,0.0897,97.022,3.71,girls need love drake remix,0.0833333333333333,0.5,Zone 2 (Light),1.0,1.0,73.0,46.0,119.0,7.27,1.0
238.0,0mfCH4nfpshBQR9ueZP5eP,Girls Need Love (with Drake) - Remix,Summer Walker,10.0,3i9w4RgUuxBxUVaarH91kx,6351.0,2019-02-10,contemporary urban,6wyJ4bsjZaUKa9f6GeZlAO,3.0,23.0,0.656,0.432,6.0,-9.481,0.217,0.443,0.0,0.132,0.0897,97.022,3.71,girls need love drake remix,0.0833333333333333,0.5,Zone 2 (Light),1.0,1.0,73.0,46.0,119.0,7.27,1.0
1948.0,6SwRhMLwNqEi6alNPVG00n,LOYALTY. FEAT. RIHANNA.,Kendrick Lamar,73.0,4eLPsYPBmXABThSJ821sqY,3809.0,2017-04-14,hip hop controller,37i9dQZF1DWT5MrZnPU1zD,4.0,8.0,0.658,0.535,9.0,-8.983,0.0573,0.0265,0.0,0.2,0.419,110.684,3.79,loyalty feat rihanna,0.0,0.0,Zone 2 (Light),1.0,6.0,150.0,36.0,99.0,5.92,1.0
1444.0,4j3GWI86JvSaF0BLdmgcfF,Summertime Magic,Childish Gambino,70.0,15k99o4mZJ9mfpQGIOrZ45,15411.0,2018-07-11,project contemporary,6HaCi9bqaiuSZEDfCEmwyo,3.0,23.0,0.76,0.579,0.0,-7.374,0.0569,0.0129,0.00351,0.106,0.125,100.01,3.56,summertime magic,0.1666666666666666,0.5,Zone 2 (Light),1.0,2.0,239.0,27.0,66.0,5.29,1.0
759.0,2TrzgfBaSP387EEFDgG4FW,Verano Azul,Juan Magán,1.0,6GxHVUwxvviiCffH7coRPC,18029.0,2009-01-01,mix latin,6IS6XTdbS9qJZgfjNKgpB8,1.0,12.0,0.887,0.87,2.0,-5.267,0.119,0.0145,0.0,0.015,0.838,126.047,3.18,verano azul,0.0,0.0,Zone 3 (Moderate),2.0,15.0,242.0,58.0,84.0,7.85,1.0
2037.0,6mAN61JH0dzyZpWslS11jy,Fantasias,Rauw Alejandro,92.0,1Flcx9eDuv7pTGM9nJBmGL,5483.0,2019-08-29,latin pop pop latino actual,2kKzN3kRYDzBctlaWs7CP2,1.0,12.0,0.879,0.703,1.0,-4.219,0.0701,0.143,0.0,0.0569,0.788,94.004,3.33,fantasias,0.0,0.0,Zone 1 (Very Light),0.0,12.0,236.0,33.0,116.0,6.35,1.0
2147.0,78QR3Wp35dqAhFEc2qAGjE,Drip Too Hard (Lil Baby & Gunna),Lil Baby,84.0,2yXnY2NiaZk9QiJJittS81,4694.0,2018-10-05,favourites,37i9dQZF1DX48TTZL62Yht,4.0,8.0,0.897,0.662,1.0,-6.903,0.292,0.0852,0.0,0.534,0.389,112.511,2.43,drip hard lil baby gunna,0.0,-0.2916666666666667,Zone 2 (Light),1.0,9.0,236.0,33.0,116.0,6.35,1.0
911.0,30ZhaZWc3F9gvOdA3GFYn1,One More Time,Alberto Ciccarini,34.0,3qGXwdNRKLkhZ213zEtvzg,11926.0,2019-06-21,tropical house,06zrBJ5cts5aemZmqe80J7,1.0,22.0,0.775,0.699,10.0,-6.055,0.106,0.314,5.88e-05,0.115,0.44,104.934,3.1,one time,0.0,0.5,Zone 2 (Light),1.0,2.0,216.0,48.0,64.0,5.81,1.0
1660.0,5Tp4UJvnsF4Zd05k0zXUte,CPR,Summer Walker,68.0,4hTM8jZ8DCCqglmZUDMSPz,9066.0,2018-10-19,neo soul,44d7ppo4cggZJmzH2WOhAc,3.0,13.0,0.693,0.369,7.0,-12.683,0.175,0.637,0.00335,0.0951,0.141,140.148,3.39,cpr,0.0,0.0,Zone 5 (Maximum),4.0,14.0,86.0,25.0,38.0,6.85,1.0
