user,song,title,play_count,release,artist_name,year,genres,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,id
2bc86cfeeb2016fadab357f135a2ea3baca4ffe6,SONREBX12A8C142DBA,I Feel Better,1,One Life Stand,Hot Chip,2010,"alternative dance, dance rock, electronica, indie rock, indietronica, neo-synthpop, new rave",0.598,0.672,0.0,-5.291,0.0,0.0438,0.0134,0.0,0.106,0.338,125.086,4qGK21F2n8zYRNsllinNaS
b6f8b5c27dff927635752d83a6687229cad8c883,SOBZAWO12AB0189656,Substitution (Album Version),2,Swoon,Silversun Pickups,2009,,,,,,,,,,,,,
578d02e9175d5d286e024e111914f01da161c2d6,SOVXTEL12A8C136B69,It's Not You_ It's Me,2,The Little Willies,The Little Willies,2006,,,,,,,,,,,,,
429553dd248d253a5c74c9fd02842ca3ed9cc3f5,SOTRBQW12A8C13FC4C,TAVALLINEN TARINA,1,Rakastaa Ei Rakasta,Hausmylly,0,,,,,,,,,,,,,
13d90fa7a4cf30f1d3a9c2e311a7aadceddec9a4,SOTXSFT12AF72A654A,If This Is It,3,Sports,Huey Lewis & The News,1983,"album rock, classic rock, hard rock, mellow gold, new romantic, new wave pop, rock, singer-songwriter, soft rock",0.376,0.667,7.0,-7.407,1.0,0.0356,0.209,1.5e-06,0.317,0.844,108.177,2pAdtQuiEVGr7nOXGiv7t4
703d4b90b9fd399355ad315efb5c18ec03cc3b11,SOZOWON12A67ADA091,Glamorous,3,Big Summer Tunes,Fergie / Ludacris,0,"dance pop, pop",0.81,0.755,0.0,-6.408,1.0,0.199,0.291,0.0,0.0857,0.625,130.991,4KTtYhxFtFL7mBwnjkKfLm
1f726d31dbf0741ebc5b1bd2eeaa0862c89deaf0,SOFKSLA12A6D4F7687,The Rocks & The Water,1,Music From Local Hero,Mark Knopfler,0,soft rock,0.141,0.00159,10.0,-43.217,1.0,0.0412,0.967,0.982,0.082,0.0511,81.851,1q2THVMj1IDA6NOsDOEnmb
c757d5e52be32d74a502e313c9dfc3d045f48b9c,SOMZTMR12A8C14177C,Feels So Good,2,Let's Go To Prison (OST),Chuck Mangione,1977,"jazz trumpet, smooth jazz",0.576,0.603,5.0,-9.603,1.0,0.0329,0.455,0.0537,0.0406,0.524,103.658,2M7EflZCPCqqRLB9hy5MDy
71ded496051ecccb6039abae42ab8975d986f74d,SOYBTCQ12A8C1323B8,Destroy Everything (Album Version),1,Supremacy,Hatebreed,2006,,,,,,,,,,,,,
6444471517ff88cb0574988f183518d8e9303dc4,SOILFUU12AB017C75F,I'm Not Calling You A Liar,3,Lungs,Florence + The Machine,2009,,,,,,,,,,,,,
79626898964ec76d8db7b518cc629372e90a2b3b,SOJYNHA12AF729DF0C,Moon Flavor,1,Teeny Shiny,Melt Banana,0,"experimental rock, japanoise, math rock, noise rock, noisecore",0.316,0.000153,0.0,-6.998,1.0,0.0941,0.0691,0.723,0.366,0.0773,99.858,6dXzzxhCpxi0kyo08jEjs8
1f59a0c2c2bb46c1a382d35328c06562507b14c6,SOESJHB12A8C13F5A5,Puppetmad,1,Creature Shock Radio,Puppetmastaz,2005,hip-hop experimental,0.571,0.842,8.0,-4.892,1.0,0.202,0.383,0.0,0.967,0.874,99.808,5HBk4lU5e05Yz7vGwDfCR9
a86254cd9f6f349ad78cef78a7cb1d0beeee1802,SOVXUCJ12A6701FBC2,Still Don't Give A Fuck,1,The Slim Shady LP,Eminem,1999,"detroit hip hop, hip hop, rap",0.693,0.856,4.0,-4.045,0.0,0.378,0.107,0.0,0.355,0.607,89.899,1F4lm7DxvpNvXfT3cGuJCb
a8c753647fb74f2cb597a30014e41cd46508976d,SODGJKH12AAA8C9487,Day 'N' Nite,1,R&B Yearbook,Kid Cudi Vs Crookers,2008,,,,,,,,,,,,,
c532665ace42a4c82f480756c850d5a91d661963,SOAVUFZ12A8C138F8A,Sodade Matadera (2001 Digital Remaster),1,Dorival Caymmi,Dorival Caymmi,0,,,,,,,,,,,,,
d85330ce1f3180b6a87cff5f11ccbf47f58cd90e,SOFXWBG12A6D4F74BE,Your Ex-Lover Is Dead (Album Version),1,The O.C. Mix 5,Stars,0,,,,,,,,,,,,,
e43382cf87d1b1b47cfbdc97212e0ec888b28fd2,SOAUWYT12A81C206F1,Undo,40,Vespertine Live,Björk,2001,"alternative rock, art pop, electronica, experimental pop, experimental vocal, icelandic experimental, icelandic pop, icelandic singer-songwriter, metropopolis, permanent wave, trip hop",0.477,0.364,5.0,-11.985,1.0,0.0345,0.761,0.0113,0.151,0.0595,116.118,5eacHz9AJcozOn3KuqzPQz
c72f840151f459d3ea0d906e74c401f5b67bc8da,SOUZZMM12AB0186546,Nasty Wish,1,Alex Gopher (Versailles Special Edition),Alex Gopher,2007,"electrofox, filter house",0.632,0.81,0.0,-6.223,1.0,0.0276,0.0162,1.05e-05,0.0748,0.666,127.975,4RkPIcaiHlVrubNXdNfKGT
d8101e7aed51ee2deab0a1db232040cd91cf155e,SOPHBRE12A8C142825,The Runner,1,Because Of The Times,Kings Of Leon,2007,"modern rock, rock",0.427,0.367,4.0,-9.128,1.0,0.0295,0.153,7.24e-06,0.134,0.14,141.45,5Svl1yLSGt9bPp2OX1xC4r
d8101e7aed51ee2deab0a1db232040cd91cf155e,SOPHBRE12A8C142825,The Runner,1,Because Of The Times,Kings Of Leon,2007,"modern rock, rock",0.427,0.367,4.0,-9.128,1.0,0.0295,0.153,7.24e-06,0.134,0.14,141.45,5Svl1yLSGt9bPp2OX1xC4r
bffbe974a19f297051f8638c48a558aeb308f39f,SOFCSDA12AB017D7BE,Again,3,Memento Mori,Flyleaf,2009,"alternative metal, christian alternative rock, nu metal, post-grunge",0.42,0.974,5.0,-3.737,1.0,0.1,0.00018,0.0,0.355,0.459,156.046,3v2XiE8ztYHOsrjIBN4Xh2
3d3b5ae5d90c65f00aee37f292439de9b3588c71,SOUFRIT12A8C13AFF5,Me Borro,1,Cortamambo,El Cuarteto De Nos,2000,rock uruguayo,0.741,0.85,7.0,-5.887,1.0,0.0553,0.00075,0.000194,0.145,0.817,120.755,1KogLPoJ49SbNYNzaH5Y85
c66bbd09911733e9e5da32b9c268ef80dc5ab96b,SOFKFXC12AC90732A5,Down To Earth,1,My World,Justin Bieber,2009,"canadian pop, pop",0.543,0.718,2.0,-4.795,1.0,0.0268,0.432,0.0,0.437,0.155,82.003,1q9pBaYcydq7LyYwD8SEBs
fcb5cc59a3cb2680286213cd65a459bca673549f,SOEGPTU12A6D4F747A,I'm A Monster,1,Distorted Lullabies,Ours,0,,0.542,0.684,0.0,-6.761,1.0,0.0282,0.0474,0.0362,0.451,0.411,127.552,1FmdvFAjzktNe9CjUAOq98
dbcddf06b124b9a99966704d829d1db6c6298bc4,SODEVAA12A58A773FF,Morning Star Social Club,2,Onye Bili_ Ibeya Ebili,Chief Stephen Osita Osadebe,0,"highlife, igbo pop, igbo traditional",0.649,0.542,5.0,-11.554,1.0,0.0738,0.0647,0.000335,0.244,0.8,152.588,1XZiDoVRRVfZ2FCsxPayWQ
ae7e74529e1495d664027b969e30eec14018d835,SOHHZKM12A6D4F70DA,Pak Dit Grej (1998 Digital Remaster),4,De 2 Første,C.V. Jørgensen,0,,,,,,,,,,,,,
ed329409f1bb6ca9c478150caf251f7c331fa508,SOIIOUS12A8AE47E20,Yeah!,1,Confessions,Usher Featuring Lil' Jon & Ludacris,2007,,,,,,,,,,,,,
778b8940be8a7e56122a1574b58adfd026062536,SORQVPO12AF72A690C,New York City Cops,1,Is This It,The Strokes,2001,"alternative rock, garage rock, modern rock, permanent wave, rock",0.523,0.855,0.0,-7.679,1.0,0.0371,0.0749,3.34e-05,0.327,0.486,107.967,5g4cz7u4MrUTKDdo1TmABo
9b3494e386bb82f8234b386a5b994bb834f47082,SODVRJW12A8C136703,On The Death Of The Waters,1,Rook,Shearwater,2008,"austindie, melancholia, slowcore",0.324,0.04,4.0,-14.114,0.0,0.0399,0.944,0.0915,0.0977,0.114,91.087,2VrvC6gCmJTykyCpuvAe9H
1f64d97fa2e72c6a246011b9177040b1029d45d2,SOPQEHG12AB0187F3C,Forever in Ebony Drowning,1,Dark Requiems... And Unsilent Massacre,Hecate Enthroned,1998,"black metal, british black metal, symphonic black metal, welsh metal",0.142,0.936,10.0,-9.037,0.0,0.0845,0.0305,0.69,0.105,0.0389,78.312,15mQtsy5qKQdsM980SvZI6
5fd081c3f667c5af7edf996836c52f9d1f8312a3,SOXRJYC12A6D4FB48B,No Llegas A Mí,24,Aunque Cueste Ver El Sol,No Te Va Gustar,2004,"latin alternative, reggae uruguayo, rock en espanol, rock uruguayo",0.557,0.954,7.0,-5.534,1.0,0.0384,0.000161,0.000134,0.0705,0.703,97.562,05aYMqgX8bfHAlkY8vY7ca
6e40fbfdd3f48049cf09ab7b62deed3b30e78050,SOAUFOF12AB0180C65,Seven Nation Army,2,Seven Nation Army,The White Stripes,2003,"alternative rock, blues rock, detroit rock, garage rock, modern blues rock, permanent wave, punk blues, rock",0.743,0.446,4.0,-7.807,0.0,0.0683,0.0039,0.118,0.337,0.278,123.596,3dPQuX8Gs42Y7b454ybpMR
6e40fbfdd3f48049cf09ab7b62deed3b30e78050,SOAUFOF12AB0180C65,Seven Nation Army (Album Version),2,Elephant,The White Stripes,2003,,,,,,,,,,,,,
c4130cc953b653dd13d1280ee458080d1631ecdf,SOBJBIZ12A8C132861,We're Looking For A Lot Of Love,1,Made In The Dark,Hot Chip,2008,"alternative dance, dance rock, electronica, indie rock, indietronica, neo-synthpop, new rave",0.335,0.444,3.0,-12.193,1.0,0.032,0.685,0.000633,0.0693,0.394,134.019,0XHsXlzb5AS0dnAbj9Bqgk
3cd048fc1346f6f29a52147c941c616f65766fc0,SOWEHOM12A6BD4E09E,16 Candles,1,16 Candles,The Crests,1988,"doo-wop, rhythm and blues",0.548,0.332,10.0,-13.075,1.0,0.0285,0.824,0.0,0.302,0.653,114.671,7u4cRwR5sdV874GRRLWXp7
29dc026617d7de47621d28b2ba10ea6dc0615d46,SOEIWVQ12AB018213F,Zero,1,It's Blitz!,Yeah Yeah Yeahs,2009,"alternative dance, alternative rock, art pop, dance-punk, garage rock, indie rock, modern rock, neo-synthpop, new rave",0.504,0.947,11.0,-4.11,1.0,0.106,0.00113,0.313,0.383,0.147,124.013,7la5q4ctkM189lO3GdzRty
5b99ef59d46dfe879324292833739b06d140f187,SOSOQHL12AB0182BA5,Second category,2,More ep,The Tellers,2006,belgian rock,0.727,0.526,8.0,-11.264,1.0,0.0373,0.591,4.91e-05,0.114,0.964,94.484,5ejP39LkPu9EEEDp9NHpwq
4fc3700a30072965886892002b84ed4bea0b170d,SOGWUDP12AB01858ED,Persona [Featuring Josh Haden],2,The Complex,Blue Man Group,2003,,,,,,,,,,,,,
506baed240ccaefcd38210e46c6c7c9e366226fd,SOAEYPR12AF72A08BD,Impossible,1,Glory,Manafest,2006,"christian alternative rock, christian hip hop, christian rock",0.453,0.898,1.0,-3.132,1.0,0.108,0.00877,0.0,0.136,0.525,160.096,473xAny4InLJTlWnUNEwZq
466368815678ac992692d4ae3c6420cfba04ea18,SOGVUCA12A67AE0D71,Redhead,2,Axxess & Ace,Songs:Ohia,1999,"alternative country, chamber pop, indie rock, lo-fi, slowcore",0.444,0.0104,11.0,-16.507,0.0,0.0438,0.978,0.00434,0.0927,0.183,109.247,1jm5VEnflXzO547Rdy4DkF
9ba37a5fca99b3da28907d496cde0307ad480f3a,SOCLANN12AC907598C,Love In 2 Parts,1,Distillation,Erin McKeown,2000,"ectofolk, women's music",0.51,0.441,5.0,-12.415,1.0,0.26,0.19,0.00042,0.0879,0.243,201.365,3UsXzO0WA7aS5ujjye6vjh
890b813b148fc159c19588323b174fe319810e36,SOVJXBK12A6D4FA5DD,Fancy Dancer (LP Version),2,The Sound Of Bread,Bread,0,,,,,,,,,,,,,
920f5a54dd89b9f9e554b9125ab564978d7524c6,SOJCQQC12AAA15EE72,Reality Of Emptiness,1,The Death Campaign Project,Officer Negative,0,"christian hardcore, christian punk",0.294,0.856,0.0,-4.961,0.0,0.0475,0.00217,0.738,0.129,0.119,140.921,403nYiiRyPT0SEhAMj4dMU
05493cc9ba677e371303652fbb611c02594e97e3,SOEBOWM12AB017F279,Hotel California,1,Hotel California / Pretty Maids All In A Row [Digital 45],Eagles,1976,"album rock, classic rock, heartland rock, mellow gold, rock, soft rock, yacht rock",0.579,0.508,2.0,-9.484,1.0,0.027,0.00574,0.000494,0.0575,0.609,147.125,40riOy7x9W7GXjyGp4pjAv
d5f32846936b25db83c8724c7c2889245acbe319,SOZVCRW12A67ADA0B7,When You Were Young,1,When You  Were Young,The Killers,2006,"alternative rock, dance rock, modern rock, permanent wave, rock",0.467,0.988,11.0,-3.313,1.0,0.112,0.000152,0.0484,0.28,0.321,130.433,70wYA8oYHoMzhRRkARoMhU
f027202b58c91a0f6c98fe32763685f3a67ac1ea,SOLWZVR12AB01849C6,All The Right Moves,5,Waking Up,OneRepublic,2009,"piano rock, pop",0.529,0.948,0.0,-3.527,1.0,0.0474,0.258,9.35e-06,0.283,0.65,146.024,5XRHGXut00SrJUFmcn2lQF
87d018f974d97600be69a9476b8af82020a623aa,SOINYMI12A8C13C3F8,Creature Fear,1,For Emma_ Forever Ago,Bon Iver,2007,"chamber pop, eau claire indie, indie folk, melancholia, modern rock",0.39,0.128,2.0,-15.872,1.0,0.0518,0.928,0.00227,0.271,0.172,103.057,7jJH5jAOUvR0FxkbYBmAQA
d44a81e1542ce8a66ecff323d4440287c83e8a7a,SONBNDT12A6D4FB37B,Hey Dude,1,Menonita Rock,Los Fancy Free,0,"mexican indie, mexican rock",0.559,0.868,7.0,-5.957,1.0,0.0364,0.00115,0.000893,0.136,0.541,134.134,6LuSWx7UXVOy7Eyk15J0ZC
2c3321c8b205032aa4a711ef55607d6ad5126070,SOJGRIS12AB018B889,Lewis Takes Off His Shirt,1,Heartland,Owen Pallett,2010,chamber pop,0.669,0.627,2.0,-9.116,1.0,0.0347,0.922,0.765,0.0875,0.69,162.089,5myPHd5YdYEu8z2SlDrAO9
24781581f29252abf3608730288599dd1bfbd50d,SOCWZND12AAF3B360E,Through The Backyards,1,Moshi Moshi: The First 10 Years,Au Revoir Simone,2005,brooklyn indie,0.4,0.273,2.0,-11.813,0.0,0.0361,0.859,0.0183,0.0732,0.158,142.523,4JlhzX6nfoCsAEmupGdjNx
b84ab89da4259588c01430ffe199606154a0eed6,SOUKGFR12A670206EC,Leave (Get Out),1,Leave (Get Out),JoJo,2004,"dance pop, pop, post-teen pop",0.697,0.565,5.0,-6.899,1.0,0.201,0.161,4.73e-05,0.082,0.457,87.043,3DOxMCaNBNvnjSzpHUSjE3
1f214db2646769239e96ce46b18afc180613d741,SOQMOAE12A8AE475A3,Good You Dub,5,200,Boxcutter,0,"acid idm, classic dubstep, deep idm, drill and bass, purple sound, wonky",0.241,0.359,6.0,-18.794,0.0,0.0407,0.00242,0.831,0.172,0.285,141.312,2fusQ47MegyP1heCE05QjH
87610f0fba8f51295b40c76deaa60c9d4fb32e3a,SOIRLWR12A8C13F563,Wir müssen das nicht tun,1,Sylt,Kettcar,2008,"antideutsche, german indie, german indie rock, german pop, german punk rock, hamburg indie, hamburger schule",0.606,0.615,2.0,-5.471,1.0,0.0267,0.00729,0.000484,0.186,0.466,92.022,3LPyPdwqLdkccpZpheiWzL
1725d0b1fb1c3d3b4fc8e8e321eabf6263cac237,SOGCWZS12A6701FCAC,Take A Chance On Me,2,The Definitive Collection,Abba,1977,"europop, swedish pop",0.684,0.675,11.0,-8.123,1.0,0.0257,0.163,0.0,0.242,0.924,107.064,5BckPAYcKEJuYs1eV1BHHe
50ebe779cbdb9b8336722827eb173969c1b77ac6,SOHGPYP12AB017E134,Starin' Through My Rear View,13,Resurrection,2Pac,2003,"g funk, gangster rap, hip hop, rap, west coast rap",0.847,0.758,1.0,-8.697,1.0,0.206,0.255,8.05e-05,0.0577,0.708,97.901,0hSpXZZzZakniKCgAFQjLi
481434b2e8f9257bac92e46232002ff7f29364b7,SOJMTBN12A6701D160,Just The Two Of Us (WSM Compilation Edit),1,THE DEFINITIVE GROVER WASHINGTON_ JR. - THE ELEKTRA YEARS,Grover Washington Jr. feat. Bill Withers,0,,,,,,,,,,,,,
0aae492624266f328f5a197e7c4b219fcecf18c5,SOEXXAG12A670209DA,Babaji,4,Even In The Quietest Moments,Supertramp,1977,"album rock, art rock, classic rock, glam rock, mellow gold, piano rock, progressive rock, rock, soft rock, symphonic rock",0.513,0.544,0.0,-7.3,0.0,0.033,0.256,0.0,0.0862,0.475,115.856,5OzYi2jOFdouhyovank4wj
4dfeba87e9cd16cdbc67295e4f7a162e0316b372,SOMFWOV12AB018A0FA,Fallen Angels,3,Nine Lives,Aerosmith,1997,"album rock, classic rock, hard rock, rock",0.331,0.805,0.0,-6.675,1.0,0.0487,0.0119,0.000191,0.334,0.246,174.603,4PMbZ7zgDi3fBgxhbxuylM
021cf2285e07d1128f7a12fa68be1fde00f9042c,SOXYAUN12A58A7BE87,High (Album Version),4,100 Chillout Classics,James Blunt,0,,,,,,,,,,,,,
9505529dbd5d235aac96412938fa618667b1f6fa,SOQJZCR12AF72A131D,Gunpowder,3,Dead FM,Strike Anywhere,2006,"melodic hardcore, orgcore, skate punk, virginia punk",0.258,0.988,9.0,-3.953,0.0,0.0968,0.0011,0.000571,0.323,0.64,176.288,7blD8kPEu6VhX3Z4AIc2Pk
7f5780c2b359b787217d7802fba5633a77586772,SOJSTYO12A8C13F200,Breakdown,1,In Between Dreams,Jack Johnson,2005,neo mellow,0.773,0.394,0.0,-9.252,1.0,0.0516,0.627,1.36e-05,0.0953,0.443,74.977,3cnRYoW4nYzIuVPCp7k5iG
518f93b195571b3e69bebccf366520a177f32b47,SOWFOWY12A8C1346AC,Perfect Time,1,White Trash Heroes,Archers Of Loaf,1998,"alternative pop, alternative rock, gbvfi, lo-fi, lo-fi emo, post-hardcore, triangle indie",0.56,0.813,5.0,-8.242,1.0,0.0292,0.0285,1.32e-05,0.169,0.619,93.384,3ryUir63etX4iDqkQwQSWe
21a3906a957efd574beb46e03149b57692b04971,SOPFZYA12A8C143552,Poetic Justice,1,Something Wicked,Nuclear Assault,1993,"crossover thrash, old school thrash, thrash metal",0.216,0.924,9.0,-8.921,1.0,0.0849,4.43e-06,0.000829,0.124,0.576,198.379,3ZxSaH33tvweXWDgD8BEZL
9e208212edbc20f8e8460903bf3f4936bb993207,SOJXAMZ12AF72ABD3C,The Noose,1,Thirteenth Step,A Perfect Circle,2003,"alternative metal, alternative rock, nu metal, rock, supergroup",0.679,0.409,1.0,-10.41,1.0,0.0313,0.0695,0.265,0.079,0.31,131.983,6lvNLD1XRU5paMwWH0RGRI
c81b2ac24dc00434f359c1504231fa57d467e610,SOFUBKK12A58A7AD88,Kindness  (The Noise We Make Album Version),1,The Noise We Make,Chris Tomlin,2001,,,,,,,,,,,,,
f8df73cf5260153a05396aa4b9912a896f92068c,SONDUKG12A58A7DA36,Work It Out,3,Dangerously In Love,Beyoncé,2002,"pop, r&b",0.674,0.838,5.0,-4.066,1.0,0.2,0.417,0.0,0.189,0.96,173.946,3hBf0RhTUX3qKJFKaagnIg
25f301fce1b0d037a2291b344cbf3c5af8ae5157,SOMPGOD12A8C13F706,Heavyweight,22,Vicious Delicious,Infected Mushroom,2007,psychedelic trance,0.611,0.604,4.0,-7.268,0.0,0.0301,0.0243,0.668,0.117,0.15,139.99,6r7XGyCsFwYIjodkzKsxwk
80c04efbd645251d12039f8238f9849e8a03a4fe,SOEEKMY12A81C221D4,Kill The Poor,1,Milking The Sacred Cow,Dead Kennedys,1980,"alternative rock, early us punk, hardcore punk, punk",0.27,0.973,2.0,-3.219,1.0,0.0725,0.212,0.00204,0.346,0.443,105.292,3PraFkxThh80PiD685IzWC
285e20c01f5c5e34bc09d95f1d5b0e17bbdb6922,SORXTBD12A6D4FE2AB,They Call Me Gucci,7,Everybody Wants Some,Gucci Crew II,1988,"miami bass, old school hip hop",0.903,0.374,6.0,-12.218,0.0,0.163,0.000294,0.000345,0.375,0.359,106.206,7iDPHr5xOq3ZH5dvfk1alg
15ddce9838eb422c2229e9a963a4e1b8492b0d90,SOQJKQA12AB0188B48,Se Tudo Pode Acontecer,1,Ao Vivo No Estúdio,Arnaldo Antunes,2001,"bossa nova, mpb",0.64,0.622,0.0,-7.462,1.0,0.113,0.506,0.0,0.0998,0.306,146.133,4PBBb3Q7DKQaSMystWMKru
b5230a5c791e82a7e3a4399641949e1ae08ce5bc,SOVZAGY12A8C1397BF,Dancin' On My Grave (Album),1,Robotique Majestique,Ghostland Observatory,2008,,,,,,,,,,,,,
d8707367273c0682c6c762a88a26d4331f091a4d,SODKTVM12A8C142006,Live A Little (Explicit Album Version),1,The Quilt,Gym Class Heroes,2008,,,,,,,,,,,,,
6e4e4bf88632477b1c27e98a4a63277e50376c12,SOHMDOK12AB0183078,Last Train To Trancentral,1,A Place Called Happiness,Slusnik Luna / Lowland,0,,,,,,,,,,,,,
ae3a6bc3bb16b1060dac8ec7d616ee0ab5644a01,SOTKJIZ12A6D4F733A,I.O.U. Me,43,8 Great Hits Bebe & Cece,Bebe And Cece Winans,1994,gospel,0.701,0.391,9.0,-14.361,1.0,0.0315,0.389,0.0,0.0303,0.683,124.623,250cWeBEqn1cKyuBljTD7o
8faf49f9627e5aed391b40b7411e350133c1286d,SODEYDM12A58A77072,Lights & Music,1,Lights & Music,Cut Copy,2008,"alternative dance, australian dance, australian electropop, electronic rock, electronica, indietronica, neo-synthpop",0.606,0.935,10.0,-4.389,0.0,0.0417,0.0696,0.152,0.408,0.631,125.997,0FezhHZVmDYXvk8jAr2fpU
b832e6f8b7c3c60f4368b6ba5497978ae8934bfb,SOOLYZQ12A6D4FA5B7,Face Down (Album Version),2,Don't You Fake It,The Red Jumpsuit Apparatus,2008,,,,,,,,,,,,,
3b342014d2d7cda909c6e180903b3206869c2c5a,SOBYQRF12A8C136B30,Rosalita (Come Out Tonight),2,The Wild_ The Innocent And The E Street Shuffle,Bruce Springsteen,1973,"heartland rock, mellow gold, permanent wave, rock, singer-songwriter",0.282,0.938,5.0,-5.664,1.0,0.0808,0.0305,0.000161,0.25,0.741,154.385,4Z80C8NlDd1AO4axf1O3n0
